N_A,mode,objective,elapsed_sec,status,num_selected,hhi,nesting,p_min
60,equal,0.8658601110137814,3602.6233230999205,9,60,0.016666666666666663,nested,0.0
80,equal,0.7354055108513802,3604.4253571999725,9,80,0.012500000000000006,nested,0.0
100,equal,0.42650677601236614,3604.2565027999226,9,100,0.009999999999999992,nested,0.0
120,equal,0.49428694076868407,3603.3757221999113,9,120,0.008333333333333338,nested,0.0
140,equal,0.3593422120115749,3603.1123053000774,9,140,0.0071428571428571435,nested,0.0
60,free,0.09763214858805477,3603.2705582999624,9,60,0.023052558021846706,nested,0.0
80,free,0.012100253847482511,3603.3965213000774,9,80,0.020524819672529553,nested,0.0
100,free,0.0009886639272644548,15.768609400140122,2,100,0.01959413836170587,nested,0.0
120,free,0.0009886639272646443,3.6751987000461668,2,120,0.019309441119479933,nested,0.0
140,free,0.00098866392726445,3.6415552000980824,2,140,0.018842916255713014,nested,0.0
100,free,0.0009886639272647414,3.1588793999981135,2,97,0.017951114942672004,non_nested,1e-05
