Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,,,,,,,52,,,43,,,,,14,14-33,18-74,,,,,,,,96,,,52-55,20-91
,,,,81,,61-96,,52,,,,,91,,,,87,,,,91,,,,,,,,
11,,,,,,,,,,,,57,,,74,72,,,,70,,,,,21,,31,,14
,,,,,43-91-14,,43-33,,,,,,,57,,18,,58,,,,70-81,,,3,,,,
,,81,34,14,,,,,,,97,,,,,57,,,,32,,,,74-90,,,,33,
,,,1,,,,,91,37,,,,,,,,,,,,,,,33,60,,,,95
,,91,,14,96,52,52,4-65,,84,,,14,,,,,14,,,,,,36,,,,,
41-81,,86,,,,,58,,,,,,,,,,14,,33-33,,36,,,,,,72-33,,
,,,,33,,,,,,,,,,81,12,49,,11,,,31,,,,,33,,63-81,69
,,,61-27,,,,,50,52,,,,58,,,,,,,,,52,,,,,,57,
,,94,,,36,,,26,,,8,,97-81-52,84-38-81,,,,79,81,72,95,,,,,,,,
,95,,52,,33-33,,,69,57,65,52,,,,27,,,,58,80,81,15,52-33,81,85,,,,
,,,33,,3,85,52-52,,,,,,,,,,65,36,,,,,,,,33,,,
,,,,,38,,,,20,57,,,,,1,,,,20-52,,,52,,,81,,81-52,,
,,,90,95,,,,,,,33,,71,,91-52,43-52,,,,,,81,,79,,33,91,,
14,,,,,,96,,,,,,52,,,,,81,,,,,,,91,81,,,16,
,,,,,,,,,,,,3,33,,,,,,,90,81,20,,,96,,,81,
52,,,97,,81,,33-91,,,43-52,52,58,,,52,,,,,,,43,,,,,,,14
,,,96,,,57-33,,14,,,,,,,,,,20,,,,,,,92-14,,,,92
33,,,,,,,,,,,20,,,,,20-48,,,,20,52,,,52,,,3,,
,,,27,,,27,23,72,,,,60,15,,,,,52-1,,,48,,,,,61,92,,
,,,18,,53,,25,33,61,,,58,,,,91,,52,,81,81,,,,,52,84,,
,,,,,,,14,,,,,15,8,,,64,61,,43,,50,52,,,14,,,14,
81,,,52,,,,70,,,14,,,,,,,81,,,,,,31,,52,91,,91,26
,,47,,,,,52,,58,,,,52,,,,,,,,,,81,,,,,60,
95,52,,92,,81,,,,81,20,55,,,,,,,,,63,,,,,,,,,
91-83,,8,52,,,,,,,,91,,,91,58,52,,,,81,,,,81,,,,33,72-33
,,,11,95,,,91,,,,,8,1,95,,14,,36-14,,52,83,,,,,11,95,,
,81,,52-52,46,,,,,,34,,,,,,,,,48-1,33,,,33,,83-91,,,,
