prob,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
0.002530177114116637,,,,,,43-91-14,,43-33,,,,,,,57,,18,,58,,,,70-81,,,3,,,,
0.01841737929393935,,88,,,,51,,,63,74,,,,52,,,,,,91-83,,77,,,,,,,14,
0.006040885269884547,,,,27,33,,59,,,87,1,,,81,89,81,,,3,,81,,,,,,,,33,74
0.009423511365619036,,,,35,,51,,,8,74,,,,50,27,,43,,,,,,20,63,91,,,,,
0.027075140518289877,,,,,20,,,14,97,74,,,65,,91,,,,,,,,,,52,33,,61,,
0.0011628537422674768,,6,,36-51,33,,91-87,,,,24,33,,,43-86-91,,81,14,,,,,3-16,,,82-81,,,,
0.015872101066634062,,33,,14,,83,,,,74-91,,36,94,,,52,63,,,11,,1-91,52,81,,,,,81,
0.003610992876063236,,,,,,,,47,16,,,,83,,,90,92,96,,91,,52,71,91,,,,,52,
0.012487964638741033,,60,49,,,91,,,,,,,,,,92,,,15,52,,43,,85,96,81,,63-91,52-91,
0.007930714851773622,,,,,,,81,91,,,,,,,8,,81,52,,72,,38,,36,,,,,96,92
0.020093274700578718,,,,79,,,,,,,84,,95,,86,14,,,,,,,91,,,,14-27,52,14,
0.01762277903337576,,14,,,52,1-48,,65,,,74,81,81,,52-16,81-92,,,,,,65,,,,,,,,
0.0012885154146981487,,80,,,,91,14-52,,,,,,,,,33,,84,13,,,,,91,84,,32,,,
0.013013846319547998,,4,,,,,,52,52,,,,,,91,,,52,,36,,,14,91,,,91,,,33
0.013730728552931348,,,,,,,,,,,,16-37,,14,,,,,,,,,,,,,,,,
0.019244136336941737,,,,,,,,,,,,,,14,,,33,,,,43,,,,6,,43,52,43,
0.007861964386218303,,,,,,,,11,,,,90,,,,,,,20,,,1,,,,51,,91-20,,
0.00632742068611702,,37,92,,,,,57,,,59,20,,14,,,,,,,,,,43,,,,,,92-92
0.006960765780070861,,,,,36,,,,69,,,,,69,43,,81,84,52-8,,,,,63,,,,,,
0.018514769748684615,,,,,,14,,,,,,,,,,,11-81,33,,1,,,52,1,,,33,,,85-52
0.01898361846817922,,,81,,,,,58,88,,,,,,11,50,,,,,,81,,95,,,,,,
0.005954462405604417,,,,,,69-14,,,52,82,,,,,,,,,,,58,43,63,,,33,60-27,,,
0.01963062386328514,84,33,38,92,36,,,,,,83,11,,57,,58,,,,,,,33,57,,31,,,,15
0.0032809169271791694,,4,,81,,,,95,,14,,16,1-95-41,,,81-49-52,,72-97,,,,,,,,70,,,,
0.00014436311401255767,,,,,14,96,,,,,,91,,,13,,69,52,,14,,,,,,,,,38,
0.00436177184510887,,,,,,84,,,,84,14,,,,,,84,8,81,,,43,57,70-33-14,,,,,,
0.005517067381256145,58,,,47-81,,81-14,,,,52,43,51,,52-11,,,,,16,61,,,,,,,11,,2,
